Link, Anchor Text
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150911.tsv.gz", blockchair_ethereum_blocks_20150911.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150912.tsv.gz", blockchair_ethereum_blocks_20150912.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150913.tsv.gz", blockchair_ethereum_blocks_20150913.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150914.tsv.gz", blockchair_ethereum_blocks_20150914.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150915.tsv.gz", blockchair_ethereum_blocks_20150915.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150916.tsv.gz", blockchair_ethereum_blocks_20150916.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150917.tsv.gz", blockchair_ethereum_blocks_20150917.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150918.tsv.gz", blockchair_ethereum_blocks_20150918.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150919.tsv.gz", blockchair_ethereum_blocks_20150919.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150920.tsv.gz", blockchair_ethereum_blocks_20150920.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150921.tsv.gz", blockchair_ethereum_blocks_20150921.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150922.tsv.gz", blockchair_ethereum_blocks_20150922.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150923.tsv.gz", blockchair_ethereum_blocks_20150923.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150924.tsv.gz", blockchair_ethereum_blocks_20150924.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150925.tsv.gz", blockchair_ethereum_blocks_20150925.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150926.tsv.gz", blockchair_ethereum_blocks_20150926.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150927.tsv.gz", blockchair_ethereum_blocks_20150927.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150928.tsv.gz", blockchair_ethereum_blocks_20150928.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150929.tsv.gz", blockchair_ethereum_blocks_20150929.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20150930.tsv.gz", blockchair_ethereum_blocks_20150930.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151001.tsv.gz", blockchair_ethereum_blocks_20151001.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151002.tsv.gz", blockchair_ethereum_blocks_20151002.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151003.tsv.gz", blockchair_ethereum_blocks_20151003.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151004.tsv.gz", blockchair_ethereum_blocks_20151004.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151005.tsv.gz", blockchair_ethereum_blocks_20151005.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151006.tsv.gz", blockchair_ethereum_blocks_20151006.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151007.tsv.gz", blockchair_ethereum_blocks_20151007.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151008.tsv.gz", blockchair_ethereum_blocks_20151008.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151009.tsv.gz", blockchair_ethereum_blocks_20151009.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151010.tsv.gz", blockchair_ethereum_blocks_20151010.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151011.tsv.gz", blockchair_ethereum_blocks_20151011.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151012.tsv.gz", blockchair_ethereum_blocks_20151012.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151013.tsv.gz", blockchair_ethereum_blocks_20151013.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151014.tsv.gz", blockchair_ethereum_blocks_20151014.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151015.tsv.gz", blockchair_ethereum_blocks_20151015.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151016.tsv.gz", blockchair_ethereum_blocks_20151016.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151017.tsv.gz", blockchair_ethereum_blocks_20151017.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151018.tsv.gz", blockchair_ethereum_blocks_20151018.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151019.tsv.gz", blockchair_ethereum_blocks_20151019.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151020.tsv.gz", blockchair_ethereum_blocks_20151020.tsv.gz
