,Euro,Chinese yuan,Australian dollar,Brazilian real,U.K. pound,Israeli New Shekel,Norwegian krone,New Zealand dollar,Polish zloty,Russian ruble,Swedish krona,Singapore dollar,South African rand,Euro_fees,Chinese_fees,Australian_fees,Brazilian_fees,UK_fees,Israeli_fees,Norwegian_fees,New_Zealand_fees,Polish_fees,Russian_fees,Swedish_fees,Singaporean_fees,South_African_fees
2020-10-01,1.1751998713601406,,0.7188006025761824,0.1771943533872342,1.2836494789521493,0.291800901607434,0.10774462731114484,0.6619000332883846,0.2596522210123054,0.012940394044200205,0.11186180806707327,0.7334601865277958,0.060212340399122086,0.02511159208000194,0.025371592080001944,0.025181592080001942,0.025971592080001944,0.025131592080001944,0.025681592080001946,0.025341592080001942,0.025291592080001944,0.025681592080001946,0.025571592080001943,0.02527159208000194,0.025201592080001944,0.02547159208000194
2020-10-02,1.1730000465326809,,0.7139001577880902,0.1771231240631773,1.2910999902704394,0.29145956098530834,0.10757552042573174,0.6639000872840284,0.260647875924132,0.01280549762471816,0.11207241049156841,0.7321719904283686,0.06035189987295169,0.025105230369848852,0.025365230369848855,0.025175230369848853,0.025965230369848855,0.025125230369848855,0.025675230369848857,0.025335230369848853,0.025285230369848855,0.025675230369848857,0.025565230369848854,0.025265230369848853,0.025195230369848855,0.02546523036984885
2020-10-05,1.176799979668426,,,0.17764148092926593,1.2947499357578736,0.2922268438902208,0.10810693278438084,0.6645996233011136,0.2614245091477964,0.012799488322052134,0.11220445092042731,0.7339444100878494,0.060958859624600084,0.02510812946936961,0.025368129469369612,0.02517812946936961,0.025968129469369612,0.02512812946936961,0.025678129469369614,0.02533812946936961,0.025288129469369612,0.025678129469369614,0.02556812946936961,0.02526812946936961,0.025198129469369612,0.025468129469369608
2020-10-06,1.1795004394256665,,0.7190996153965711,0.18116206188130704,1.2934501555651636,0.29316897965642846,0.10860709128467719,0.6654006686052262,0.26191747840314694,0.012736929559076612,0.11239745556996758,0.7357271435070972,0.06059821234291592,0.02511206601079467,0.025372066010794673,0.02518206601079467,0.025972066010794673,0.025132066010794672,0.025682066010794674,0.02534206601079467,0.025292066010794673,0.025682066010794674,0.02557206601079467,0.02527206601079467,0.025202066010794673,0.02547206601079467
2020-10-07,1.1769993677888413,,0.712400370295107,0.17853332655964235,1.286549707602339,0.29351390864548754,0.10767275734380997,0.658199552936395,0.26228860439386753,0.01280539468039468,0.11183674275779537,0.7342681026891553,0.060095621937727196,0.02511267174814586,0.025372671748145864,0.02518267174814586,0.025972671748145864,0.025132671748145863,0.025682671748145865,0.025342671748145862,0.025292671748145864,0.025682671748145865,0.025572671748145863,0.02527267174814586,0.025202671748145864,0.02547267174814586
2020-10-08,1.1765006450592974,,0.7144998602606772,0.17795449861813334,1.2900494310210004,0.2946382445353456,0.10789809474608375,0.6550993560699091,0.2619519466111097,0.01283437926099071,0.11277386789976034,0.735727533727991,0.06025347866222889,0.02511099066775023,0.025370990667750233,0.02518099066775023,0.025970990667750233,0.025130990667750232,0.025680990667750234,0.02534099066775023,0.025290990667750233,0.025680990667750234,0.025570990667750232,0.02527099066775023,0.025200990667750233,0.02547099066775023
2020-10-09,1.179499403040814,0.14891302502701878,0.7179000050925429,0.18054761810455555,1.2935497286806352,0.29577064318815816,0.10858701741083805,0.659600291972455,0.2637611823752751,0.012982221367177997,0.11298796462380255,0.7371908402129813,0.060649638712378835,0.025100154383143627,0.02536015438314363,0.025170154383143628,0.02596015438314363,0.02512015438314363,0.025670154383143632,0.02533015438314363,0.02528015438314363,0.025670154383143632,0.02556015438314363,0.025260154383143628,0.02519015438314363,0.025460154383143627
2020-10-13,1.178700113315329,0.1481375119009389,0.7184998238731772,0.17903822022784727,1.3057505053920269,0.29533426607457874,0.10921673784831024,0.6635001563213967,0.26363002332796226,0.012939040313944291,0.11339539976544717,0.7356725427478895,0.06071523051393664,0.025092422900185738,0.02535242290018574,0.02516242290018574,0.02595242290018574,0.02511242290018574,0.025662422900185743,0.02532242290018574,0.02527242290018574,0.025662422900185743,0.02555242290018574,0.02525242290018574,0.02518242290018574,0.025452422900185737
2020-10-14,1.1749994353217537,0.1483833261807422,0.7170002032841687,0.17963262033293428,1.2950500304926253,0.2955088315677727,0.10857760373139384,0.6661001061595103,0.2610902807580241,0.012940646669527702,0.11319907166896304,0.7358350461906805,0.06049087479953923,0.02509045295762994,0.025350452957629943,0.02516045295762994,0.025950452957629943,0.025110452957629942,0.025660452957629944,0.02532045295762994,0.025270452957629943,0.025660452957629944,0.025550452957629942,0.02525045295762994,0.025180452957629943,0.02545045295762994
2020-10-15,1.1697997623006586,0.14865242540842225,0.7136005239548427,0.17804301737011932,1.2955503360820262,0.29463708504950187,0.10665755768161272,0.6654000660589618,0.25704276047415653,0.012829384381290068,0.11062561224518604,0.736539075005152,0.059940885698234754,0.02508975599225528,0.025349755992255283,0.02515975599225528,0.025949755992255283,0.025109755992255282,0.025659755992255284,0.02531975599225528,0.025269755992255283,0.025659755992255284,0.025549755992255282,0.02524975599225528,0.025179755992255283,0.02544975599225528
2020-10-16,1.174099405531437,0.1492254407704945,0.7072002393681585,0.177871994490016,1.288900148476004,0.2955956823403883,0.10715465215403117,0.6596004132488017,0.2565685106671258,0.012826364934822986,0.11286293350194487,0.7346457181891574,0.06055633337661531,0.025087191636776265,0.02534719163677627,0.025157191636776266,0.02594719163677627,0.025107191636776268,0.02565719163677627,0.025317191636776266,0.02526719163677627,0.02565719163677627,0.025547191636776267,0.025247191636776266,0.02517719163677627,0.025447191636776265
